Estado;População
Rondônia;1787279
Acre;816687
Amazonas;4001667
Roraima;514229
Pará;8272724
Amapá;782295
Tocantins;1532902
Maranhão;6954036
Piauí;3212180
Ceará;8963663
Rio Grande do Norte;3474998
Paraíba;3999415
Pernambuco;9410336
Alagoas;3358963
Sergipe;2265779
Bahia;15276566
Minas Gerais;20997560
Espírito Santo;3973697
Rio de Janeiro;16635996
São Paulo;44749699
Paraná;11242720
Santa Catarina;6910553
Rio Grande do Sul;11286500
Mato Grosso do Sul;2682386
Mato Grosso;3305531
Goiás;6695855
Distrito Federal;2977216
