Estado;População
Rondônia;1768204
Acre;803513
Amazonas;3938336
Roraima;505665
Pará;8175113
Amapá;766679
Tocantins;1515126
Maranhão;6904241
Piauí;3204028 
Ceará;8904459 
Rio Grande do Norte;3442175
Paraíba;3972202
Pernambuco;9345173
Alagoas;3340932
Sergipe;2242937
Bahia;15203934
Minas Gerais;20869101
Espírito Santo;3929911
Rio de Janeiro;16550024
São Paulo;44396484
Paraná;11163018
Santa Catarina;6819190
Rio Grande do Sul;11247972
Mato Grosso do Sul;2651235
Mato Grosso;3265486
Goiás;6610681
Distrito Federal;2914830
